date,airline,flightNumber,origin,destination,
8/19/2019,United,UA 465,MSN,DEN,
8/19/2019,United,UA 1620,DEN,SEA,
10/23/2019,Alaska,AS 1146,SEA,AUS,
10/27/2019,Alaska,AS 1895,AUS,SEA,
11/28/2019,United,UA 688,SEA,SFO,
11/28/2019,United,UA 2186,SFO,SAN,
12/3/2019,United,UA 580,SAN,SFO,
12/3/2019,United,UA 2161,SFO,SEA,
1/30/2020,Alaska,AS 14,SEA,EWR,
2/2/2020,Alaska,AS 1063,JFK,SEA,
2/20/2020,Delta,DL 348,SEA,SAN,
2/25/2020,Delta,DL 350,SAN,SEA,
2/25/2020,Delta,DL 0350,SAN,SEA,
4/22/2020,Alaska,AS 744,SEA,SAN,
4/26/2020,Alaska,AS 949,SAN,SEA,
6/24/2020,Alaska,AS 1004,AUS,SEA,
8/20/2020,Alaska,AS 416,SEA,LAX,
8/22/2020,Alaska,AS 525,LAX,SEA,
8/10/2021,United,UA 2497,SEA,ORD,
8/11/2021,United,UA 5141,ORD,RHI,
8/23/2021,United,UA 1757,ORD,SEA,
9/3/2021,Alaska,AS 1178,SEA,SAN,
9/12/2021,Alaska,AS 1135,SAN,SEA,
10/24/2021,United,UA 1664,LAX,SEA,
10/24/2021,Alaska,AS 035,SEA,LAX,
2/18/2022,Alaska,AS 159,SEA,SFO,
2/18/2022,Alaska,AS 3355,SFO,LAX,
2/21/2022,Alaska,AS 1135,LAX,SEA,
3/11/2022,Finnair,AY 4096,SEA,LHR,
3/12/2022,British Airways,BA 568,LHR,LIN,
3/28/2022,Lufthansa,LH 249,MXP,FRA,
4/7/2022,United,UA 1724,KOA,SFO,
4/7/2022,United,UA 2498,SFO,SEA,
5/6/2022,Alaska,AS 1198,SEA,SAN,
5/8/2022,Viva Aerobus,VB 3121,TIJ,GDL,
5/13/2022,Viva Aerobus,VB 1399,GDL,MEX,
5/14/2022,Avianca,AV 23,MEX,BOG,
5/14/2022,Avianca,AV 51,BOG,UIO,
5/22/2022,Avianca,AV 8372,UIO,BOG,
5/26/2022,American,AA 1122,BOG,DFW,
5/27/2022,American,AA 1736,DFW,MSN,
5/31/2022,Delta,DL 4105,GRB,DTW,
5/31/2022,Delta,DL 1577,DTW,MIA,
6/6/2022,American,AA 496,MIA,SEA,
9/23/2022,Delta,DL 438,SEA,AUS,
9/27/2022,Alaska,AS 362,AUS,SAN,
10/2/2022,Alaska,AS 579,SAN,SEA,
10/13/2022,Alaska,AS 1178,SEA,SAN,
10/17/2022,Delta,DL 1485,SAN,SEA,
10/21/2022,Delta,DL 80,SEA,CDG,
10/22/2022,Delta,DL 8195,CDG,IST,
11/12/2022,Aegean,A3 992,ATH,IST,
11/26/2022,Pegasus,PC 281,SAW,TIR,
12/2/2022,Pegasus,PC 284,TIA,SAW,
12/3/2022,Air France,DL 8353,IST,CDG,
12/3/2022,Air France,DL 8401,CDG,SEA,
12/20/2022,Delta,DL 959,SEA,MSP,
12/20/2022,Delta,DL 1529,MSP,MKE,
2/9/2023,Alaska,AS 1258,SEA,SAN,
2/15/2023,Alaska,AS 1135,SAN,SEA,
3/14/2023,Latam,LA 8137,EZE,GRU,
3/14/2023,Latam,LA 8039,GRU,LIM,
3/27/2023,American,AA 2793,SEA,CLT,
3/28/2023,American,AA 1577,CLT,MIA,
3/28/2023,American,AA 957,MIA,SCL,
4/10/2023,AerolineasArgentinas,AR 1885,USH,EZE,
4/24/2023,Copa,CM 132,LIM,PTY,
4/25/2023,Copa,CM 488,PTY,IAD,
4/28/2023,United,UA 1382,IAD,SEA,
7/8/2023,Alaska,AS 1096,SEA,SAN,
7/16/2023,Alaska,AS 1199,SAN,SEA,
8/25/2023,United,UA 692,SEA,ORD,
8/29/2023,Alaska,AS 363,ORD,SEA,
11/27/2023,Delta,DL 2835,SEA,LAS,
12/3/2023,Delta,DL 2115,LAS,SEA,
1/25/2024,Delta,DL 1363,SEA,SAN,
2/4/2024,AeroMexico,AM 111,TIJ,MEX,
2/14/2024,Alaska,AS 1097,SAN,SEA,
2/28/2024,Delta,DL 914,SEA,MSP,
2/28/2024,Delta,DL 846,MSP,STL,
3/4/2024,Delta,DL 1119,STL,SLC,
3/4/2024,Delta,DL 2358,SLC,SEA,
3/15/2024,Air Canada,AC 8807,SEA,YVR,
3/15/2024,Air Canada,AC 212,YVR,YYC,
3/20/2024,Alaska,AS 2096,YYC,SEA,
7/13/2024,Alaska,AS 1278,SEA,SAN,
7/21/2024,Iceland Air,FI 684,SEA,KEF,
7/23/2024,Iceland Air,FI 518,KEF,BER,
8/11/2024,Iceland Air,FI 565,GVA,KEF,
8/11/2024,Iceland Air,FI 683,KEF,SEA,
8/17/2024,Delta,DL 2740,SEA,DEN,
9/6/2024,Southwest,WN 4389,STL,SAN,
9/8/2024,Southwest,WN 236,SAN,STL,
9/23/2024,Delta,DL 932,STL,ATL,
9/23/2024,Delta,DL 730,ATL,BOI,
9/26/2024,Delta,DL 2005,BOI,SLC,
9/26/2024,Delta,DL 2666,SLC,STL,
9/30/2024,Delta,DL 1214,ORD,SEA,
10/9/2024,American,AA 1950,SAN,PHX,
10/9/2024,American,AA 890,PHX,STL,
11/10/2024,Delta,DL 4926,LGA,STL,
1/17/2025,American,AA 2574,STL,PHX,
1/17/2025,American,AA 6186,PHX,SGU,
1/29/2025,Delta,DL 2125,SAN,MSP,
1/29/2025,Delta,DL 1609,MSP,STL,
2/4/2025,Delta,DL 1164,SAN,SLC,
2/4/2025,Delta,DL 2666,SLC,STL,
5/5/2025,Delta,DL 1252,SLC,SAN,
5/5/2025,Delta,DL 2455,STL,SLC,
5/28/2025,Delta,DL 4837,STL,LGA,
6/1/2025,Southwest,WN 310,LGA,STL,
7/23/2025,American,,STL,DFW,
7/23/2025,American,,DFW,SAN,
