iata_code,name,municipality,iso_region,iso_country,continent,latitude_deg,longitude_deg,elevation_ft
DPT,Deputatskiy Airport,Deputatskiy,RU-SA,RU,EU,69.392503,139.890012,950
DQA,Daqing Sartu Airport,Daqing,CN-23,CN,AS,46.750883,125.138642,496
DQM,Duqm International Airport,Duqm,OM-WU,OM,AS,19.501944,57.634167,364
DRG,Deering Airport,Deering,US-AK,US,NA,66.068901,-162.766914,21
DRJ,Drietabbetje Airport,Drietabbetje,SR-SI,SR,SA,4.111359,-54.672766,236
DRO,Durango La Plata County Airport,Durango,US-CO,US,NA,37.151501,-107.753998,6685
DRP,Bicol International Airport,Legazpi,PH-ALB,PH,AS,13.111915,123.676829,319
DRS,Dresden Airport,Dresden,DE-SN,DE,EU,51.134123,13.767831,755
DRV,Dharavandhoo Airport,Baa Atoll,MV-20,MV,AS,5.1561,73.1302,6
DRW,Darwin International Airport / RAAF Darwin,Darwin,AU-NT,AU,OC,-12.41497,130.88185,103
DSD,La Désirade Airport,Grande Anse,GP-U-A,GP,NA,16.296902,-61.0844,10
DSE,Kombolcha Airport,Dessie,ET-AM,ET,AF,11.10975,39.725911,6120
DSI,Destin Executive Airport,Destin,US-FL,US,NA,30.400101,-86.471497,23
DSM,Des Moines International Airport,Des Moines,US-IA,US,NA,41.534,-93.663101,958
DSN,Ordos Ejin Horo Airport,Ordos,CN-15,CN,AS,39.493514,109.8599,4557
DSO,Sondok Airport,Sŏndŏng-ni,KP-08,KP,AS,39.745201,127.473999,12
DSS,Blaise Diagne International Airport,Dakar,SN-DK,SN,AF,14.670878,-17.072829,290
DTB,Silangit Airport,Siborong-Borong,ID-SU,ID,AS,2.25973,98.991898,4700
DTD,Datadawai Airport,Datadawai-Borneo Island,ID-KI,ID,AS,0.807028,114.529052,508
DTM,Dortmund Airport,Dortmund,DE-NW,DE,EU,51.518299,7.61224,425
DTR,Decatur Shores Airport,Decatur,US-WA,US,NA,48.500171,-122.813973,38
DTU,Wudalianchi Dedu Airport,Heihe,CN-23,CN,AS,48.441037,126.128374,984
DTW,Detroit Metropolitan Wayne County Airport,Detroit,US-MI,US,NA,42.21377,-83.353786,645
DUB,Dublin Airport,Dublin,IE-D,IE,EU,53.428713,-6.262121,242
DUD,Dunedin International Airport,Dunedin,NZ-OTA,NZ,OC,-45.928101,170.197998,4
DUE,Dundo Airport,Chitato,AO-LNO,AO,AF,-7.400889874,20.81850052,2451
DUJ,DuBois Regional Airport,Dubois,US-PA,US,NA,41.17829895,-78.8986969,1817
DUM,Pinang Kampai Airport,Dumai,ID-RI,ID,AS,1.609114,101.433492,55
DUR,King Shaka International Airport,Durban,ZA-NL,ZA,AF,-29.61444444,31.11972222,295
DUS,Düsseldorf Airport,Düsseldorf,DE-NW,DE,EU,51.289501,6.76678,147
DUT,Tom Madsen (Dutch Harbor) Airport,Unalaska,US-AK,US,NA,53.89881,-166.544996,22
DVL,Devils Lake Regional Airport,Devils Lake,US-ND,US,NA,48.115454,-98.908796,1456
DVO,Francisco Bangoy International Airport,Davao,PH-DVO,PH,AS,7.12552,125.646004,96
DWB,Soalala Airport,Soalala,MG-M,MG,AF,-16.10169,45.358837,141
DWC,Al Maktoum International Airport,Jebel Ali,AE-DU,AE,AS,24.896356,55.161389,114
DWD,King Salman Abdulaziz Airport,Dawadmi,SA-01,SA,AS,24.4499,44.121201,3026
DWO,Diyawanna Oya Seaplane Base,Sri Jayawardenepura Kotte,LK-1,LK,AS,6.906585,79.909,10
DXB,Dubai International Airport,Dubai,AE-DU,AE,AS,25.25279999,55.36439896,62
DXJ,Xiangxi Biancheng Airport,Xiangxi,CN-43,CN,AS,28.4972,109.5218,
DYG,Zhangjiajie Hehua International Airport,Zhangjiajie (Yongding),CN-43,CN,AS,29.1028,110.443001,8530
DYR,Ugolny Yuri Ryktheu Airport,Anadyr,RU-CHU,RU,AS,64.734902,177.740997,194
DYU,Dushanbe International Airport,Dushanbe,TJ-DU,TJ,AS,38.543746,68.822977,2575
DZA,Dzaoudzi Pamandzi International Airport,Dzaoudzi,YT-U-A,YT,AF,-12.809319,45.281815,23
DZH,Dazhou Jinya Airport,Dazhou (Dachuan),CN-51,CN,AS,31.048815,107.435646,1342
DZN,Zhezkazgan National Airport,Zhezkazgan,KZ-ULY,KZ,AS,47.708953,67.738094,1250
EAA,Eagle Airport,Eagle,US-AK,US,NA,64.778003,-141.150455,908
EAM,Najran Domestic Airport,Najran,SA-10,SA,AS,17.611401,44.419201,3982
EAR,Kearney Regional Airport,Kearney,US-NE,US,NA,40.727001,-99.006798,2131
EAS,San Sebastián Airport,Hondarribia,ES-PV,ES,EU,43.356499,-1.79061,16
EAT,Pangborn Memorial Airport,Wenatchee,US-WA,US,NA,47.398899,-120.207001,1249
EAU,Chippewa Valley Regional Airport,Eau Claire,US-WI,US,NA,44.86579895,-91.48429871,913
EAX,Eduard Alexander Gummels Airport,Kwatta,SR-PM,SR,SA,5.8604,-55.192,49
EBA,Marina di Campo Airport,Campo nell'Elba (LI),IT-52,IT,EU,42.760871,10.239811,31
EBB,Entebbe International Airport,Kampala,UG-C,UG,AF,0.042386,32.443501,3782
EBD,El-Obeid Airport,El-Obeid,SD-09,SD,AF,13.1532,30.2327,1927
EBJ,Esbjerg Airport,Esbjerg,DK-83,DK,EU,55.525902,8.5534,97
EBL,Erbil International Airport,Arbil,IQ-AR,IQ,AS,36.23759842,43.96319962,1341
ECN,Nicosia (Lefkoşa) Ercan International Airport,Tymbou (Kirklar),CY-02,CY,AS,35.152337,33.506584,404
ECP,Northwest Florida Beaches International Airport,Panama City Beach,US-FL,US,NA,30.357106,-85.795414,69
EDA,Edna Bay Seaplane Base,Edna Bay,US-AK,US,NA,55.949653,-133.661012,
EDI,Edinburgh Airport,Edinburgh,GB-SCT,GB,EU,55.950145,-3.372288,135
EDL,Eldoret International Airport,Eldoret,KE-700,KE,AF,0.4044579864,35.23889923,6941
EDO,Balıkesir Koca Seyit Airport,Edremit,TR-10,TR,AS,39.5546,27.0138,50
EDR,Pormpuraaw Airport,Pormpuraaw,AU-QLD,AU,OC,-14.896451,141.60908,10
EEK,Eek Airport,Eek,US-AK,US,NA,60.213173,-162.044048,12
EFL,Kefallinia Airport,Kefallinia Island,GR-F,GR,EU,38.12009811,20.50049973,59
EGC,Bergerac Dordogne Périgord Airport,Bergerac/Roumanière,FR-NAQ,FR,EU,44.825298,0.518611,171
EGE,Eagle County Regional Airport,Eagle,US-CO,US,NA,39.64260101,-106.9179993,6548
EGO,Belgorod International Airport,Belgorod,RU-BEL,RU,EU,50.64379883,36.59009933,735
EGS,Egilsstaðir Airport,Egilsstaðir,IS-7,IS,EU,65.28330231,-14.40139961,76
EGX,Egegik Airport,Egegik,US-AK,US,NA,58.184386,-157.374873,92
EHU,Ezhou Huahu Airport,Ezhou,CN-42,CN,AS,30.341178,115.03926,86
EIE,Yeniseysk Airport,Yeniseysk,RU-KYA,RU,AS,58.474201,92.112503,253
EIK,Yeysk Airport,Yeysk,RU-KDA,RU,EU,46.68,38.21,60
EIN,Eindhoven Airport,Eindhoven,NL-NB,NL,EU,51.45009995,5.374529839,74
EIS,Terrance B. Lettsome International Airport,Beef Island,VG-U-A,VG,NA,18.445492,-64.541707,15
EJA,Yariguíes Airport,Barrancabermeja,CO-SAN,CO,SA,7.02433,-73.8068,412
EJH,Al Wajh Domestic Airport,Al Wajh,SA-07,SA,AS,26.198601,36.476398,66
EJT,Enejit Airport,Enejit Island,MH-MIL,MH,OC,6.0404,171.9846,30
EKO,Elko Regional Airport,Elko,US-NV,US,NA,40.82490158,-115.7919998,5140
EKS,Shakhtyorsk Airport,Shakhtyorsk,RU-SAK,RU,AS,49.1903,142.082993,50
ELC,Elcho Island Airport,Elcho Island,AU-NT,AU,OC,-12.01939964,135.5709991,101
ELD,South Arkansas Regional Airport at Goodwin Field,El Dorado,US-AR,US,NA,33.221001,-92.813301,277
ELF,El Fasher Airport,El Fasher,SD-02,SD,AF,13.61489964,25.32460022,2393
ELG,El Golea Airport,El Menia,DZ-50,DZ,AF,30.580732,2.861595,1306
ELH,North Eleuthera Airport,North Eleuthera,BS-HI,BS,NA,25.47489929,-76.6835022,13
ELI,Elim Airport,Elim,US-AK,US,NA,64.6147,-162.272003,162
ELM,Elmira Corning Regional Airport,Elmira/Corning,US-NY,US,NA,42.15990067,-76.89160156,954
ELP,El Paso International Airport,El Paso,US-TX,US,NA,31.807199,-106.377998,3959
ELQ,Gassim Airport,Buraidah,SA-05,SA,AS,26.302799,43.774399,2126
ELS,King Phalo Airport,East London,ZA-EC,ZA,AF,-33.035599,27.825899,435
ELU,Guemar Airport - مطار قمار بالوادي,Guemar,DZ-39,DZ,AF,33.511398,6.77679,203
ELV,Elfin Cove Seaplane Base,Elfin Cove,US-AK,US,NA,58.19520187,-136.3470001,0
EMA,East Midlands Airport,Nottingham,GB-ENG,GB,EU,52.8311,-1.32806,306
EMD,Emerald Airport,Emerald,AU-QLD,AU,OC,-23.56749916,148.1790009,624
EME,Emden Airport,Emden,DE-NI,DE,EU,53.391109,7.2275,3
EMK,Emmonak Airport,Emmonak,US-AK,US,NA,62.78609848,-164.4909973,13
ENA,Kenai Municipal Airport,Kenai,US-AK,US,NA,60.570946,-151.245174,99
ENE,H. Hasan Aroeboesman (Ende) Airport,Ende,ID-NT,ID,AS,-8.849114,121.66101,49
ENF,Enontekio Airport,Enontekio,FI-10,FI,EU,68.36260223,23.42429924,1005
ENH,Enshi Xujiaping Airport,Enshi (Enshi),CN-42,CN,AS,30.320299,109.485001,1605
ENI,El Nido Airport,El Nido,PH-PLW,PH,AS,11.202399,119.416087,
ENO,Aeropuerto Internacional Tte. Amín Ayub González,Encarnación,PY-7,PY,SA,-27.227537,-55.837584,659
ENT,Eniwetok Airport,Eniwetok Atoll,MH-ENI,MH,OC,11.34070015,162.3280029,13
ENU,Akanu Ibiam International Airport,Enegu,NG-EN,NG,AF,6.474269867,7.56196022,466
ENY,Yan'an Nanniwan Airport,Yan'an (Baota),CN-61,CN,AS,36.479413,109.464083,
EOH,Enrique Olaya Herrera Airport,Medellín,CO-ANT,CO,SA,6.219686,-75.590597,4949
EOI,Eday Airport,Eday,GB-SCT,GB,EU,59.19060135,-2.772219896,10
EPR,Esperance Airport,Esperance,AU-WA,AU,OC,-33.684399,121.822998,470
EPU,Pärnu Airport,Pärnu,EE-67,EE,EU,58.41899872,24.4727993,47
EQS,Esquel Brigadier Antonio Parodi International Airport,Esquel,AR-U,AR,SA,-42.908001,-71.139503,2621
ERC,Erzincan Airport,Erzincan,TR-24,TR,AS,39.71020126,39.52700043,3783
ERF,Erfurt-Weimar Airport,Erfurt,DE-TH,DE,EU,50.979801,10.9581,1036
ERH,Moulay Ali Cherif Airport,Errachidia,MA-08,MA,AF,31.94750023,-4.398330212,3428
ERI,Erie International Tom Ridge Field,Erie,US-PA,US,NA,42.083127,-80.173867,732
ERL,Erenhot Saiwusu International Airport,Erenhot,CN-15,CN,AS,43.4225,112.096667,3301
ERS,Eros Airport,Windhoek,NA-KH,NA,AF,-22.61219978,17.08040047,5575
ERZ,Erzurum International Airport,Erzurum,TR-25,TR,AS,39.956501,41.1702,5763
ESB,Esenboğa International Airport,Ankara,TR-06,TR,AS,40.128101,32.995098,3125
ESC,Delta County Airport,Escanaba,US-MI,US,NA,45.723199,-87.088623,609
ESD,Orcas Island Airport,Eastsound,US-WA,US,NA,48.708199,-122.910004,31
ESL,Elista Airport,Elista,RU-KL,RU,EU,46.37390137,44.33089828,501
ESM,Carlos Concha Torres International Airport,Tachina,EC-E,EC,SA,0.978519,-79.626602,32
ESR,Ricardo García Posada Airport,El Salvador,CL-AT,CL,SA,-26.3111,-69.765198,5240
ESU,Essaouira-Mogador Airport,Essaouira,MA-07,MA,AF,31.397499,-9.68167,384
ETM,Ramon International Airport,Eilat,IL-D,IL,AS,29.727009,35.014116,288
ETR,Santa Rosa - Artillery Colonel Victor Larrea International Airport,Santa Rosa,EC-O,EC,SA,-3.441986,-79.996957,20
ETZ,Metz-Nancy-Lorraine Airport,Goin,FR-GES,FR,EU,48.982101,6.25132,870
EUA,Kaufana Airport,Eua Island,TO-01,TO,OC,-21.37829971,-174.9579926,325
EUG,Mahlon Sweet Field,Eugene,US-OR,US,NA,44.12459946,-123.211998,374
EUN,Hassan I Airport,El Aaiún,EH-U-A,EH,AF,27.142467,-13.224947,207
EUX,F. D. Roosevelt Airport,Oranjestad,BQ-SE,BQ,NA,17.4965,-62.979401,129
EVE,"Harstad/Narvik Airport, Evenes",Evenes,NO-18,NO,EU,68.49130249,16.67810059,84
EVG,Sveg Airport,Sveg,SE-Z,SE,EU,62.047798,14.4229,1178
EVN,Zvartnots International Airport,Yerevan,AM-ER,AM,AS,40.14730072,44.39590073,2838
EVV,Evansville Regional Airport,Evansville,US-IN,US,NA,38.03699875,-87.53240204,418
EWB,New Bedford Regional Airport,New Bedford,US-MA,US,NA,41.67610168,-70.95690155,80
EWN,Coastal Carolina Regional Airport,New Bern,US-NC,US,NA,35.07300186,-77.04290009,18
EWR,Newark Liberty International Airport,Newark,US-NJ,US,NA,40.692501,-74.168701,18
EXI,Excursion Inlet Seaplane Base,Excursion Inlet,US-AK,US,NA,58.420502,-135.449005,0
EXT,Exeter International Airport,"Exeter, Devon",GB-ENG,GB,EU,50.734261,-3.413984,102
EYK,Beloyarskiy Airport,,RU-KHM,RU,EU,63.686901,66.698601,82
EYP,El Alcaravan - Yopal Airport,Yopal,CO-CAS,CO,SA,5.31911,-72.384,1028
EYW,Key West International Airport,Key West,US-FL,US,NA,24.556101,-81.759598,3
EZE,Minister Pistarini International Airport,Buenos Aires (Ezeiza),AR-B,AR,SA,-34.8222,-58.5358,67
EZS,Elazığ Airport,Elazığ,TR-23,TR,AS,38.597974,39.28348,2927
FAE,Vágar Airport,Vágar,FO-U-A,FO,EU,62.063256,-7.275782,280
FAI,Fairbanks International Airport,Fairbanks,US-AK,US,NA,64.815102,-147.856003,439
FAO,Faro Airport,Faro,PT-08,PT,EU,37.01440048,-7.965909958,24
FAR,Hector International Airport,Fargo,US-ND,US,NA,46.92070007,-96.81580353,902
FAT,Fresno Yosemite International Airport,Fresno,US-CA,US,NA,36.776199,-119.718002,336
FAV,Fakarava Airport,,PF-U-A,PF,OC,-16.05410004,-145.6569977,13
FAY,Fayetteville Regional Airport - Grannis Field,Fayetteville,US-NC,US,NA,34.991199,-78.880302,189
FBD,Fayzabad Airport,Fayzabad,AF-BDS,AF,AS,37.122148,70.5201,3872
FBE,Paulo Abdala Airport,Francisco Beltrão,BR-PR,BR,SA,-26.05938,-53.063827,2113
FBM,Lubumbashi International Airport,Lubumbashi,CD-HK,CD,AF,-11.59130001,27.53089905,4295
FBS,Friday Harbor Seaplane Base,Friday Harbor,US-WA,US,NA,48.5373,-123.010002,
FCA,Glacier Park International Airport,Kalispell,US-MT,US,NA,48.3105011,-114.2559967,2977
FCN,Sea-Airport Cuxhaven/Nordholz / Nordholz Naval Airbase,Wurster Nordseeküste,DE-NI,DE,EU,53.767689,8.659201,74
FCO,Rome–Fiumicino Leonardo da Vinci International Airport,Rome,IT-62,IT,EU,41.804532,12.251998,13
FDE,"Førde Airport, Bringeland",Førde,NO-46,NO,EU,61.391102,5.75694,1046
FDF,Martinique Aimé Césaire International Airport,Fort-de-France,MQ-U-A,MQ,NA,14.591,-61.003201,16
FDH,Friedrichshafen Airport,Friedrichshafen,DE-BW,DE,EU,47.671299,9.51149,1367
FDU,Bandundu Airport,Bandundu,CD-KL,CD,AF,-3.31132,17.381701,1063
FEC,João Durval Carneiro Airport,Feira de Santana,BR-BA,BR,SA,-12.200694,-38.906164,781
FEG,Fergana International Airport,Fergana,UZ-FA,UZ,AS,40.358799,71.745003,1980
FEN,Fernando de Noronha Airport,Fernando de Noronha,BR-PE,BR,SA,-3.854471,-32.423302,193
FEZ,Fes Saïss International Airport,Saïss,MA-03,MA,AF,33.927299,-4.97796,1900
FGU,Fangatau Airport,Fangatau,PF-U-A,PF,OC,-15.820044,-140.888071,9
FHZ,Fakahina Airport,Fakahina,PF-U-A,PF,OC,-15.992259,-140.164246,3
FIE,Fair Isle Airport,Fair Isle,GB-SCT,GB,EU,59.534721,-1.628509,223
FIH,Ndjili International Airport,Kinshasa,CD-KN,CD,AF,-4.38575,15.4446,1027
FIZ,Fitzroy Crossing Airport,,AU-WA,AU,OC,-18.183596,125.559783,368
FJR,Fujairah International Airport,Fujairah,AE-FU,AE,AS,25.1122,56.324001,152
FKB,Karlsruhe Baden-Baden Airport,Rheinmünster,DE-BW,DE,EU,48.7794,8.0805,408
FKI,Bangoka International Airport,Kisangani,CD-TO,CD,AF,0.4816389978,25.33799934,1417
FKQ,Fakfak Airport,Fakfak,ID-PB,ID,AS,-2.920508,132.267011,462
FKS,Fukushima Airport,Sukagawa,JP-07,JP,AS,37.22740173,140.4309998,1221
FLA,Gustavo Artunduaga Paredes Airport,Florencia,CO-CAQ,CO,SA,1.58919,-75.5644,803
FLG,Flagstaff Pulliam International Airport,Flagstaff,US-AZ,US,NA,35.1385,-111.670998,7014
FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,US-FL,US,NA,26.072599,-80.152702,9
FLN,Hercílio Luz International Airport,Florianópolis,BR-SC,BR,SA,-27.670279,-48.552502,16
FLO,Florence Regional Airport,Florence,US-SC,US,NA,34.1853981,-79.72389984,146
FLR,"Florence Airport, Peretola",Firenze (FI),IT-52,IT,EU,43.808558,11.202822,142
FLS,Flinders Island Airport,Whitemark,AU-TAS,AU,OC,-40.091702,147.992996,10
FLW,Flores Airport,Santa Cruz das Flores,PT-20,PT,EU,39.45529938,-31.13139915,112
FLZ,Dr. Ferdinand Lumban Tobing Airport,Sibolga (Pinangsori),ID-SU,ID,AS,1.557127,98.887145,33
FMA,Formosa National Airport,Formosa,AR-P,AR,SA,-26.2127,-58.2281,193
FMI,Kalemie Airport,Kalemie,CD-TA,CD,AF,-5.87556,29.25,2569
FMM,Memmingen Allgau Airport,Memmingen,DE-BY,DE,EU,47.98880005,10.23950005,2077
FMO,Münster Osnabrück Airport,Greven,DE-NW,DE,EU,52.134602,7.68483,160
FMT,Faresmaathoda Airport,Faresmaathodaa,MV-28,MV,AS,0.192647,73.196755,
FNA,Lungi International Airport,Freetown (Lungi-Town),SL-N,SL,AF,8.61644,-13.1955,84
FNC,Madeira International Airport Cristiano Ronaldo,Funchal,PT-30,PT,EU,32.697899,-16.7745,192
FND,Funadhoo Airport,Funadhoo,MV-24,MV,AS,6.162443,73.28752,
FNI,Nîmes-Arles-Camargue Airport,Nîmes/Garons,FR-OCC,FR,EU,43.757401,4.41635,309
FNJ,Pyongyang Sunan International Airport,Pyongyang,KP-01,KP,AS,39.224098,125.669998,117
FNR,Funter Bay Seaplane Base,Funter Bay,US-AK,US,NA,58.25439835,-134.897995,0
FNT,Bishop International Airport,Flint,US-MI,US,NA,42.9654007,-83.74359894,782
FOA,Foula Airfield,Foula,GB-SCT,GB,EU,60.121725,-2.053202,150
FOC,Fuzhou Changle International Airport,Fuzhou (Changle),CN-35,CN,AS,25.934669,119.66318,46
FOD,Fort Dodge Regional Airport,Fort Dodge,US-IA,US,NA,42.552624,-94.191237,1156
FOG,Foggia Gino Lisa Airport,Foggia (FG),IT-75,IT,EU,41.433596,15.534566,265
FOR,Pinto Martins International Airport,Fortaleza,BR-CE,BR,SA,-3.775833,-38.532222,83
FPO,Grand Bahama International Airport,Freeport,BS-FP,BS,NA,26.55870056,-78.69560242,7
FRA,Frankfurt Airport,Frankfurt am Main,DE-HE,DE,EU,50.030241,8.561096,364
FRD,Friday Harbor Airport,Friday Harbor,US-WA,US,NA,48.523654,-123.024645,113
FRE,Fera/Maringe Airport,Fera Island,SB-IS,SB,OC,-8.1075,159.576996,
FRL,Forlì Luigi Ridolfi Airport,Forlì (FC),IT-45,IT,EU,44.194801,12.0701,97
FRO,Florø Airport,Florø,NO-46,NO,EU,61.58359909,5.024720192,37
FRS,Mundo Maya International Airport,San Benito,GT-PE,GT,NA,16.913799,-89.866402,427
FRU,Manas International Airport,Bishkek,KG-C,KG,AS,43.061298,74.4776,2058
FRW,P G Matante Intl,Francistown,BW-FR,BW,AF,-21.15914,27.468545,3283
FSC,Figari Sud-Corse Airport,Figari Sud-Corse,FR-COR,FR,EU,41.500599,9.09778,85
FSD,Sioux Falls Regional Airport / Joe Foss Field,Sioux Falls,US-SD,US,NA,43.585463,-96.741152,1429
FSM,Fort Smith Regional Airport,Fort Smith,US-AR,US,NA,35.336601,-94.367401,469
FSP,St Pierre Airport,Saint-Pierre,PM-SP,PM,NA,46.76290131,-56.17309952,27
FSZ,Mount Fuji Shizuoka Airport,Makinohara / Shimada,JP-22,JP,AS,34.796043,138.187752,433
FTA,Futuna Airport,Futuna Island,VU-TAE,VU,OC,-19.51639938,170.2319946,95
FTE,El Calafate - Commander Armando Tola International Airport,El Calafate,AR-Z,AR,SA,-50.2803,-72.053101,669
FTI,Fitiuta Airport,Fitiuta Village,AS-MA,AS,OC,-14.216131,-169.423771,110
FTU,Tôlanaro Airport,Tôlanaro,MG-U,MG,AF,-25.038099,46.9561,29
FUE,Fuerteventura Airport,El Matorral,ES-CN,ES,AF,28.4527,-13.8638,85
FUG,Fuyang Xiguan Airport,"Yingzhou, Fuyang",CN-34,CN,AS,32.882157,115.734364,104
FUJ,Fukue Airport,Goto,JP-42,JP,AS,32.666302,128.832993,273
FUK,Fukuoka Airport,Fukuoka,JP-40,JP,AS,33.58589935,130.451004,32
FUN,Funafuti International Airport,Funafuti,TV-FUN,TV,OC,-8.525,179.195999,9
FUO,Foshan Shadi Airport,Foshan (Nanhai),CN-44,CN,AS,23.0825,113.070833,6
FUT,Pointe Vele Airport,Futuna Island,WF-U-A,WF,OC,-14.311565,-178.066492,20
FWA,Fort Wayne International Airport,Fort Wayne,US-IN,US,NA,40.9785,-85.195099,814
FYJ,Fuyuan Dongji Airport,Fuyuan,CN-23,CN,AS,48.197219,134.36298,
FYN,Fuyun Koktokay Airport,Fuyun,CN-65,CN,AS,46.804169,89.512006,3081
FYU,Fort Yukon Airport,Fort Yukon,US-AK,US,NA,66.571651,-145.249987,433
GAE,Gabès Matmata International Airport,Gabès,TN-81,TN,AF,33.733691,9.91941,407
GAF,Gafsa Ksar International Airport,Gafsa,TN-71,TN,AF,34.42200089,8.822500229,1060
GAJ,Yamagata Airport,Higashine,JP-06,JP,AS,38.4119,140.371002,353
GAL,Edward G. Pitka Sr Airport,Galena,US-AK,US,NA,64.736198,-156.936997,153
GAM,Gambell Airport,Gambell,US-AK,US,NA,63.767694,-171.733303,27
GAN,Gan International Airport,Gan,MV-01,MV,AS,-0.692694,73.151557,6
GAQ,Gao Airport,,ML-7,ML,AF,16.2484,-0.005456,870
GAU,Lokpriya Gopinath Bordoloi International Airport,Guwahati,IN-AS,IN,AS,26.10610008,91.58589935,162
GAX,Gamba Airport,Gamba,GA-8,GA,AF,-2.785278,10.047222,30
GAY,Gaya Airport,Gaya,IN-BR,IN,AS,24.744301,84.951202,380
GBB,Gabala International Airport,Gabala,AZ-QAB,AZ,AS,40.808617,47.725389,935
GBE,Sir Seretse Khama International Airport,Gaborone,BW-GA,BW,AF,-24.555201,25.9182,3299
GBI,Kalaburagi Airport,Kalaburagi,IN-KA,IN,AS,17.308154,76.965246,1571
GBJ,Marie-Galante Airport,Grand-Bourg,GP-U-A,GP,NA,15.868925,-61.270087,16
GCC,Northeast Wyoming Regional Airport,Gillette,US-WY,US,NA,44.3489,-105.539001,4365
GCH,Gachsaran Airport,Gachsaran,IR-17,IR,AS,30.333869,50.833796,2414
GCI,Guernsey Airport,Saint Peter Port,GG-G,GG,EU,49.435001,-2.60197,336
GCK,Garden City Regional Airport,Garden City,US-KS,US,NA,37.92750168,-100.723999,2891
GCM,Owen Roberts International Airport,George Town,KY-GC,KY,NA,19.292801,-81.357697,8
GCN,Grand Canyon National Park Airport,Grand Canyon - Tusayan,US-AZ,US,NA,35.9524,-112.147003,6609
GDB,Gondia Airport,Gondia,IN-MM,IN,AS,21.526817,80.290347,987
GDE,Gode Airport,Gode,ET-SO,ET,AF,5.935130119,43.57860184,834
GDL,Guadalajara International Airport,Guadalajara,MX-JAL,MX,NA,20.523342,-103.310108,5016
GDN,Gdańsk Lech Wałęsa Airport,Gdańsk,PL-PM,PL,EU,54.377602,18.4662,489
GDQ,Gondar Airport,Azezo,ET-AM,ET,AF,12.5199,37.433998,6449
GDT,JAGS McCartney International Airport,Cockburn Town,TC-GT,TC,NA,21.4445,-71.142303,13
GDV,Dawson Community Airport,Glendive,US-MT,US,NA,47.137658,-104.80691,2458
GDX,Sokol Airport,Magadan,RU-MAG,RU,AS,59.9109993,150.7200012,574
GDZ,Gelendzhik Airport,Gelendzhik,RU-KDA,RU,EU,44.58209263,38.01248074,98
GEA,Nouméa Magenta Airport,Nouméa,NC-03,NC,OC,-22.25812,166.472783,10
GEC,Lefkoniko Airport / Geçitkale Air Base,Lefkoniko (Geçitkale),CY-03,CY,AS,35.23591,33.720088,146
GEG,Spokane International Airport,Spokane,US-WA,US,NA,47.6199,-117.533997,2376
GEL,Santo Ângelo Airport,Santo Ângelo,BR-RS,BR,SA,-28.282503,-54.169623,1056
GEO,Cheddi Jagan International Airport,Georgetown,GY-DE,GY,SA,6.49855,-58.254101,95
GER,Rafael Cabrera Airport,Nueva Gerona,CU-99,CU,NA,21.83469963,-82.78379822,79
GES,General Santos International Airport,General Santos,PH-SCO,PH,AS,6.058000088,125.0960007,505
GET,Geraldton Airport,Moonyoonooka,AU-WA,AU,OC,-28.796101,114.707001,121
GEV,Gällivare Airport,Gällivare,SE-BD,SE,EU,67.13240051,20.81459999,1027
GFF,Griffith Airport,Griffith,AU-NSW,AU,OC,-34.25080109,146.0670013,439
GFK,Grand Forks International Airport,Grand Forks,US-ND,US,NA,47.949299,-97.176102,845
GGF,Almeirim Airport,Almeirim,BR-PA,BR,SA,-1.479524,-52.578214,584
GGG,East Texas Regional Airport,Longview,US-TX,US,NA,32.38399887,-94.71150208,365
GGJ,Guaíra Airport,Guaíra,BR-PR,BR,SA,-24.0811,-54.1917,889
GGR,Garowe Airport,Garowe,SO-NU,SO,AF,8.457942,48.567407,1465
GGS,Gobernador Gregores Airport,Gobernador Gregores,AR-Z,AR,SA,-48.7831,-70.150002,356
GGT,Exuma International Airport,Moss Town,BS-EX,BS,NA,23.562599,-75.877998,9
GGW,Glasgow Valley County Airport Wokal Field,Glasgow,US-MT,US,NA,48.212502,-106.614998,2296
GHA,Noumérat - Moufdi Zakaria Airport,El Atteuf,DZ-47,DZ,AF,32.384102,3.79411,1512
GHB,Governor's Harbour Airport,Governor's Harbour,BS-CE,BS,NA,25.2847,-76.331001,26
GHT,Ghat Airport,Ghat,LY-GT,LY,AF,25.14559937,10.14260006,2296
GHV,Brașov-Ghimbav International Airport,Brașov (Ghimbav),RO-BV,RO,EU,45.70558,25.522871,1740
GIB,Gibraltar Airport,Gibraltar,GI-U-A,GI,EU,36.151199,-5.34966,12
GIC,Boigu Island Airport,Boigu Island,AU-QLD,AU,OC,-9.23278,142.218002,23
GIG,Rio Galeão – Tom Jobim International Airport,Rio De Janeiro,BR-RJ,BR,SA,-22.809999,-43.250557,28
GIL,Gilgit Airport,Gilgit,PK-GB,PK,AS,35.91880035,74.33360291,4796
GIS,Gisborne Airport,Gisborne,NZ-GIS,NZ,OC,-38.6633,177.977997,15
GIZ,Jizan Regional Airport / King Abdullah bin Abdulaziz Airport,Jizan,SA-09,SA,AS,16.9011,42.5858,20
GJA,La Laguna Airport,Guanaja,HN-IB,HN,NA,16.4454,-85.906601,49
GJL,Jijel Ferhat Abbas Airport,Tahir,DZ-18,DZ,AF,36.795101,5.87361,36
